Date,TSLA,"Tesla, Inc.","Tesla,"
2017-04-03,14.000000000000002,0.0,0.0
2017-04-04,12.46,0.0,9.6
2017-04-05,8.540000000000001,0.0,9.719999999999999
2017-04-06,6.44,0.0,0.0
2017-04-07,4.48,0.0,0.0
2017-04-08,1.4000000000000001,0.0,0.0
2017-04-09,0.9800000000000001,0.0,0.0
2017-04-10,9.940000000000001,0.0,0.0
2017-04-11,8.260000000000002,0.0,0.0
2017-04-12,6.580000000000001,0.0,0.0
2017-04-13,6.86,0.0,0.0
2017-04-14,3.7800000000000002,0.0,0.0
2017-04-15,1.2600000000000002,0.0,0.0
2017-04-16,0.8400000000000001,0.0,0.0
2017-04-17,5.460000000000001,0.0,0.0
2017-04-18,4.340000000000001,0.0,0.0
2017-04-19,4.760000000000001,0.0,0.0
2017-04-20,5.32,0.0,0.0
2017-04-21,4.62,0.0,0.0
2017-04-22,1.4000000000000001,0.0,0.0
2017-04-23,0.8400000000000001,0.0,12.0
2017-04-24,5.040000000000001,0.0,0.0
2017-04-25,5.6000000000000005,0.0,0.0
2017-04-26,4.62,0.0,0.0
2017-04-27,4.340000000000001,0.0,0.0
2017-04-28,4.2,0.0,0.0
2017-04-29,1.12,0.0,0.0
2017-04-30,1.12,0.0,0.0
2017-05-01,8.85,0.0,0.0
2017-05-02,8.25,0.0,4.8
2017-05-03,15.0,0.0,4.8
2017-05-04,14.85,0.0,4.8
2017-05-05,10.95,0.0,0.0
2017-05-06,2.4,0.0,9.0
2017-05-07,1.65,0.0,0.0
2017-05-08,7.949999999999999,0.0,0.0
2017-05-09,9.15,0.0,0.0
2017-05-10,9.45,0.0,0.0
2017-05-11,8.25,0.0,4.95
2017-05-12,6.3,0.0,0.0
2017-05-13,1.65,0.0,6.1499999999999995
2017-05-14,1.2,0.0,6.1499999999999995
2017-05-15,7.35,0.0,5.25
2017-05-16,5.85,0.0,5.25
2017-05-17,7.949999999999999,0.0,0.0
2017-05-18,8.7,0.0,5.25
2017-05-19,5.3999999999999995,0.0,0.0
2017-05-20,1.5,0.0,0.0
2017-05-21,0.75,0.0,0.0
2017-05-22,5.1,0.0,0.0
2017-05-23,4.8,0.0,15.0
2017-05-24,4.8,0.0,0.0
2017-05-25,5.25,0.0,0.0
2017-05-26,6.1499999999999995,0.0,11.1
2017-05-27,2.55,0.0,0.0
2017-05-28,1.05,0.0,6.75
2017-05-29,0.75,0.0,0.0
2017-05-30,6.1499999999999995,4.0,0.0
2017-05-31,7.35,0.0,0.0
2017-06-01,10.200000000000001,0.0,0.0
2017-06-02,12.07,4.0,0.0
2017-06-03,2.04,0.0,0.0
2017-06-04,0.51,0.0,0.0
2017-06-05,9.860000000000001,0.0,0.0
2017-06-06,13.430000000000001,0.0,0.0
2017-06-07,11.9,0.0,21.0
2017-06-08,17.0,0.0,0.0
2017-06-09,16.66,0.0,0.0
2017-06-10,4.42,0.0,0.0
2017-06-11,2.21,0.0,0.0
2017-06-12,12.920000000000002,0.0,10.5
2017-06-13,15.47,0.0,10.29
2017-06-14,15.64,0.0,0.0
2017-06-15,13.940000000000001,0.0,0.0
2017-06-16,10.88,0.0,0.0
2017-06-17,3.2300000000000004,0.0,0.0
2017-06-18,3.06,0.0,0.0
2017-06-19,11.22,0.0,0.0
2017-06-20,9.860000000000001,0.0,10.08
2017-06-21,7.65,0.0,0.0
2017-06-22,12.750000000000002,0.0,10.29
2017-06-23,11.39,0.0,0.0
2017-06-24,3.5700000000000003,0.0,0.0
2017-06-25,0.68,0.0,0.0
2017-06-26,9.350000000000001,0.0,10.709999999999999
2017-06-27,10.200000000000001,0.0,0.0
2017-06-28,10.88,0.0,11.129999999999999
2017-06-29,10.030000000000001,0.0,11.129999999999999
2017-06-30,9.860000000000001,0.0,0.0
2017-07-01,1.36,0.0,0.0
2017-07-02,1.7000000000000002,0.0,0.0
2017-07-03,9.01,0.0,0.0
2017-07-04,3.2300000000000004,80.36,41.18
2017-07-05,11.05,0.0,8.12
2017-07-06,17.0,0.0,8.12
2017-07-07,14.280000000000001,0.0,0.0
2017-07-08,2.5500000000000003,0.0,0.0
2017-07-09,2.21,0.0,18.56
2017-07-10,10.88,0.0,0.0
2017-07-11,8.67,0.0,7.539999999999999
2017-07-12,5.78,0.0,0.0
2017-07-13,6.460000000000001,0.0,0.0
2017-07-14,5.78,0.0,0.0
2017-07-15,1.36,0.0,8.7
2017-07-16,1.7000000000000002,0.0,0.0
2017-07-17,5.95,0.0,7.539999999999999
2017-07-18,6.29,0.0,0.0
2017-07-19,5.61,0.0,7.539999999999999
2017-07-20,6.460000000000001,0.0,15.659999999999998
2017-07-21,4.25,0.0,8.12
2017-07-22,1.87,39.2,8.7
2017-07-23,1.1900000000000002,0.0,8.7
2017-07-24,4.760000000000001,0.0,0.0
2017-07-25,5.61,33.32,11.6
